lyAMuJNS	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	10	7	0.0863101604278075	0.09428571428571428	0.07999999999999999	0.22789377289377288	0.1553113553113553	0.2976190476190476	0.11428571428571428	0.5297619047619048
E2EFF8VW	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	50	36	0.06333257832638638	0.07012698412698413	0.05850000000000002	0.20014747670630023	0.1126599163363869	0.22157287157287153	0.08125000000000002	0.42861276455026454
xj0mWKWj	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	50	50	0.07252714176986333	0.06590421841187946	0.09799999999999999	0.24746689576336112	0.10865237270469467	0.16052669552669557	0.09799999999999999	0.3754694324194323
sQu1IjfH	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	100	85	0.0448622833122766	0.054393831729509484	0.041000000000000016	0.22783478748919925	0.07504893799011444	0.22519607843137254	0.04823529411764708	0.4448529411764705
KMk2GlrJ	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	100	91	0.03388576867811808	0.038905435178183866	0.03700000000000001	0.20822305718487294	0.04916094954539482	0.0856377749234892	0.040659340659340674	0.301532449032449
442fsyh6	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	100	78	0.04682193794552864	0.05702011435076316	0.04800000000000001	0.17912925258230872	0.0912689874228336	0.22147435897435896	0.06153846153846155	0.37120217745217743
kGjHVWca	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	100	51	0.043878362177897784	0.061988095238095245	0.03625000000000002	0.22946097883597882	0.11118481672114888	0.33991596638655464	0.07107843137254906	0.5054232804232804
pWu0BiaO	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	200	156	0.04633883589639168	0.05321802962319833	0.05024999999999995	0.18942779217723257	0.09547218507238749	0.22662037037037025	0.06442307692307686	0.42391508954008955
MB0Bh2Hf	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	200	91	0.03072134240308696	0.042975108225108236	0.02562499999999999	0.20742387566137566	0.08942399444985094	0.2811616954474097	0.0563186813186813	0.44076835862550146
I6CUrTXy	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	100	93	0.05493712238913477	0.06618235930735931	0.04899999999999999	0.26226066017316024	0.08017159065546166	0.21388888888888885	0.05268817204301074	0.45648148148148154
IPGc8iSA	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	200	185	0.055051291659272354	0.061947928898586774	0.052499999999999936	0.25172931711498864	0.0826187979129155	0.1918082368082368	0.05675675675675669	0.4242267267267266
8VyU5W2i	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
qqrrKuCi	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5szfgoTS	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	100	93	0.04431723766056641	0.04343501518884571	0.05599999999999998	0.2298047716355412	0.06942465376650936	0.10970457260779842	0.060215053763440836	0.35032918793671475
g2BX8AHr	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	200	177	0.051406898859744504	0.055815783587435656	0.05599999999999995	0.22597554487119303	0.07384951298070377	0.11824191106082271	0.06327683615819203	0.3350739282578413
LVFMzxKI	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	100	84	0.0448622833122766	0.054393831729509484	0.041000000000000016	0.22593002558443737	0.075942377728092	0.22787698412698412	0.04880952380952382	0.4501488095238094
1b2fBOfz	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	200	150	0.041767263751464175	0.050337539130378	0.037999999999999964	0.2190534278493838	0.08035343523578814	0.25396031746031744	0.05066666666666662	0.4354907407407406
CP5fASkp	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	100	78	0.01612739711269123	0.023702380952380954	0.013000000000000001	0.1755711589336589	0.026154614616153076	0.0702991452991453	0.016666666666666666	0.295548433048433
bIYiRdqu	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	200	162	0.026146303838060807	0.0374811161061161	0.022	0.1822056004181005	0.041237312070645404	0.11162551440329216	0.02716049382716049	0.31031990985694685
UQFimBUO	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	100	90	0.04867852188268799	0.06752691752691754	0.040000000000000015	0.21798289040394303	0.06927220927220927	0.1937037037037037	0.04444444444444447	0.39725308641975304
xAel2LUT	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	200	174	0.03447392369238608	0.05085994999152895	0.027499999999999983	0.21928806847392374	0.049624449624449625	0.14305555555555552	0.03160919540229883	0.36646312260536384
1lM6Cj6G	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	50	38	0.050446394895243996	0.05478177378177378	0.05000000000000001	0.1837368945868945	0.10849501375817164	0.3942982456140351	0.06578947368421054	0.4778508771929824
x5wXWqlA	keyBert	Datasets/DataFiles/bib_tug_dataset_full.parquet	50	50	0.061483504060745035	0.04301720302358901	0.118	0.22233498812000999	0.07805408693920002	0.06242400990385242	0.118	0.24492512786354795
LEgH2Mdt	PositionRankMod	Datasets/DataFiles/bib_tug_dataset_full.parquet	30	26	0.11111773397579022	0.1862789987789988	0.08333333333333334	0.5294223137973139	0.1469850662158354	0.3391025641025642	0.09615384615384617	0.7273504273504273
